Instrument;Quote (bid. %);Quote (ask. %);Quote (mid. %);Underlying 1st leg;Underlying 2nd leg;Start Date;Maturity Date
1E6E1Y;;;22.2;Euribor1M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2013
1E6E2Y;;;22.6;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 15 Dec 2014
1E6E3Y;;;23.8;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2015
1E6E4Y;;;24.6;Euribor1M;Euribor6M;Thu 13 Dec 2012;Tue 13 Dec 2016
1E6E5Y;;;25;Euribor1M;Euribor6M;Thu 13 Dec 2012;Wed 13 Dec 2017
1E6E6Y;;;25;Euribor1M;Euribor6M;Thu 13 Dec 2012;Thu 13 Dec 2018
1E6E7Y;;;24.8;Euribor1M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2019
1E6E8Y;;;24.5;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2020
1E6E9Y;;;24.1;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2021
1E6E10Y;;;23.7;Euribor1M;Euribor6M;Thu 13 Dec 2012;Tue 13 Dec 2022
1E6E11Y;;;23.3;Euribor1M;Euribor6M;Thu 13 Dec 2012;Wed 13 Dec 2023
1E6E12Y;;;22.8;Euribor1M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2024
1E6E15Y;;;21.1;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2027
1E6E20Y;;;18.9;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 13 Dec 2032
1E6E25Y;;;17.5;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 14 Dec 2037
1E6E30Y;;;16.3;Euribor1M;Euribor6M;Thu 13 Dec 2012;Mon 15 Dec 2042
3E6E1Y;14;15;14.5;Euribor3M;Euribor6M;Thu 13 Dec 2012;Fri 13 Dec 2013
3E6E2Y;13.3;14.3;13.8;Euribor3M;Euribor6M;Thu 13 Dec 2012;Mon 15 Dec 2014
